Direction,Ligand-receptor pair,Mean interaction  score in Control,Mean interaction  score in OW,Mean interaction  score in T2D,P_Global_KW,P_OW_vs_Control,P_T2D_vs_Control,P_T2D_vs_OW,Log2FC_OW_vs_Control,Log2FC_T2D_vs_Control,Log2FC_T2D_vs_OW,FDR_Global,FDR_T2D_Control,FDR_OW_Control,FDR_T2D_OW
IntraMac->Alpha,NID1_PTPRF,0.378812625080133,0.461952727054359,0.732981318020081,1.03046152632564e-06,0.0164321475289053,2.62E-07,9.98332775377449e-05,0.286260809596529,0.952292012266975,0.666031202670446,2.49406982811769e-06,1.29339359261763e-06,0.0275210312588755,0.000316534606686637
IntraMac->Alpha,RPS19_C5AR1,0.546769322141681,0.571047224757336,1.04821608483595,2.18240264135928e-11,0.520966242078833,5.62E-12,1.02929833807845e-10,0.062677759940173,0.93893194677749,0.876254186837317,1.28990163779274e-10,7.61668386554389e-11,0.584153516782228,1.15539048105846e-09
IntraMac->Alpha,HSP90AA1_CFTR,0.508998813504288,0.671113156968139,0.945918710192837,1.52040683286738e-07,0.0120273056173327,2.63E-09,0.000127018139365855,0.398893746978157,0.894053912774926,0.49516016579677,4.29248030780477e-07,2.01185073708098e-08,0.0208377984395393,0.000394022349186797
IntraMac->Alpha,CDH1_PTPRF,0.384912344452128,0.442339003878133,0.699475150905475,1.94934400602582e-06,0.214941353867124,2.11E-07,2.54981918654393e-05,0.200622518775184,0.861742864084183,0.661120345308999,4.47098128551975e-06,1.06145999484531e-06,0.271348023605471,9.0816011348155e-05
IntraMac->Alpha,HLA-C_DDR1,0.469860795896032,0.739540384547414,0.851706651161033,1.30793742029792e-07,1.02426860798401e-05,6.84E-08,0.0644789351697359,0.654395532907114,0.858123217162621,0.203727684255507,3.72191588057932e-07,3.84136759071603e-07,3.84709737800612e-05,0.100081359877207
IntraMac->Alpha,SPP1_CD44,0.534122646662473,0.50088335415591,0.961732024173379,2.16031334213155e-06,0.450833722924879,9.45E-06,1.35011222816657e-06,-0.092696388,0.848463902595333,0.941160290496689,4.90540478466482e-06,3.32631672640239e-05,0.517721937517835,6.41888219385205e-06
IntraMac->Alpha,LAMB1_CD44,0.427432963532858,0.461874168970505,0.767589630139236,2.95238706412637e-07,0.57066168962217,7.97E-08,1.18911349709829e-06,0.111801690631591,0.844637047275022,0.732835356643431,7.87078209036032e-07,4.38984582714969e-07,0.631076732755851,5.75612387178662e-06
IntraMac->Alpha,FBLN1_ITGB1,0.531942756380319,0.786749900274726,0.948056572235017,6.04757504511651e-07,3.60305039013053e-05,6.99E-07,0.0314451584074277,0.564634087525416,0.83370214645118,0.269068058925764,1.53417949471979e-06,3.15266249302709e-06,0.000118010021204837,0.0534356589259207
IntraMac->Alpha,LAMB1_ITGB1,0.579173544434224,0.78109240849402,1.02632515217573,2.88505655262069e-06,0.00383443124661247,7.97E-08,0.00647200016780952,0.431497534051752,0.825420256026541,0.39392272197479,6.39387206529955e-06,4.38984582714969e-07,0.00751104045955505,0.0132102445438353
IntraMac->Alpha,SPP1_ITGB1,0.721293273651004,0.810865201572514,1.24761730607429,1.17793322154707e-05,0.428701555547619,4.88E-06,3.06846490665642e-05,0.168876130015799,0.790517593897572,0.621641463881773,2.36458776096115e-05,1.83922671114007e-05,0.49565296357811,0.000107537663285171
IntraMac->Alpha,COL1A1_DDR1,0.403808028661657,0.535989499128928,0.686209791901264,9.01021774456491e-07,0.0475179103611195,5.85E-09,0.00029225212336456,0.408535140275864,0.764980116018638,0.356444975742774,2.21293604848082e-06,4.11091593819115e-08,0.0709876790276301,0.000826099335377157
IntraMac->Alpha,SPP1_ITGB5,0.465182289754718,0.46073498980618,0.761922310382427,6.59500874973671e-06,0.950311041532289,4.31E-06,9.11158834867156e-06,-0.013859007,0.711847727100717,0.72570673383803,1.38026119850895e-05,1.64421006047411e-05,0.959984989756681,3.60029397058817e-05
IntraMac->Alpha,C1QB_LRP1,0.481537128996176,0.649328706002684,0.786196143547244,0.000102328148435975,0.0156117436389785,7.91E-06,0.0194767148767273,0.431301948142049,0.707242244318488,0.27594029617644,0.000175624097260492,2.84801268225793e-05,0.0263440046364544,0.034931512472623
IntraMac->Alpha,SERPINA1_LRP1,0.521390181952612,0.51848383359827,0.843279116085036,4.23324151206761e-06,0.935433174616983,5.51E-06,3.95505255643057e-06,-0.00806441,0.693646808864941,0.701711218985744,9.14489968146518e-06,2.04598758219107e-05,0.948344816088166,1.69465917530475e-05
IntraMac->Alpha,COL6A1_CD44,0.45386649043333,0.591384517887164,0.733502002357991,2.88183838132305e-05,0.0265237492078328,1.12E-06,0.0051341801463501,0.381828498157755,0.692532926934181,0.310704428776427,5.43615539352505e-05,4.85969919002456e-06,0.0421201111015771,0.010714011723748
IntraMac->Alpha,PLA2G2A_ITGB1,0.502716995360043,0.544170460948339,0.808667364869824,1.22501256730447e-07,0.186466997960805,3.11E-08,1.24060952812112e-06,0.114312182018539,0.685799926094003,0.571487744075463,3.50734107667775e-07,1.89476966964159e-07,0.239384001786181,5.98366374266484e-06
IntraMac->Alpha,APP_TNFRSF21,0.58139329664695,0.638270418194566,0.924914989834043,1.30761566850153e-06,0.356382801558699,1.82E-07,9.84995803931285e-06,0.134653347218499,0.669806333208772,0.535152985990274,3.10051829074281e-06,9.27038662748098e-07,0.421122215979167,3.86702056358208e-05
IntraMac->Alpha,COL6A1_GP6,0.36216238651161,0.413790745523603,0.57547376662897,0.000224834093838357,0.178292987537035,5.33E-05,0.00128779293392249,0.192264660487195,0.668113443586963,0.475848783099768,0.000365438652609199,0.000159691698362543,0.230125499895595,0.00311124902554494
IntraMac->Alpha,HLA-B_CANX,1.29517211197366,2.16175922547151,2.04801163255908,7.38670416858746e-08,3.44234304849935e-07,4.95E-07,0.933025577905332,0.739062019123638,0.66108008280183,-0.077981936,2.20137944040204e-07,2.29816196788796e-06,1.96032820246654e-06,0.949395611327507
IntraMac->Alpha,B2M_TFRC,0.575108696462608,0.781972623866151,0.903885087695239,8.03411793581227e-06,0.00383443124661247,1.00E-07,0.0288881893307936,0.443283446846318,0.652304717844942,0.209021270998623,1.656182366967e-05,5.4014054281599e-07,0.00751104045955505,0.0495711975860271
IntraMac->Alpha,VIM_CD44,0.564033727248483,0.777926267302186,0.881952516534909,0.000176102880347991,0.0028362917284155,5.62E-05,0.0928064074922973,0.463851987450628,0.644919550322734,0.181067562872106,0.000291153432805045,0.000167413208925548,0.00574650939241089,0.137434222747761
IntraMac->Alpha,GNAI2_C5AR1,0.350075303517769,0.395432691264854,0.547301571001693,0.000104202265111737,0.318735909279203,3.36E-06,0.00144718617925143,0.175766857500189,0.64467070754604,0.468903850045851,0.000178639803251478,1.30553248607951e-05,0.382142230645169,0.00345871193442413
IntraMac->Alpha,UBA52_ERBB2,0.434785139745853,0.480444717452286,0.67818924577942,3.40857490223873e-06,0.229091532896955,5.31E-07,3.18357813145796e-05,0.144067803778851,0.641385273948547,0.497317470169696,7.45665729082618e-06,2.45264926559667e-06,0.286610222486963,0.00011118089408551
IntraMac->Alpha,CALM2_GP6,0.349058655589382,0.419414622864215,0.536252780541751,0.000850776012124053,0.0633079890720522,0.000162678,0.0144639710113261,0.264907674747022,0.619443735411736,0.354536060664714,0.00127220882351606,0.000436302444631461,0.0915703088950384,0.0268497356405274
